Entity,Code,Year,GDP per capita,cons_pct_gdp,Gini coefficient,log_gdp_pc
Canada,CAN,2012,42320.645,77.078160359675,0.3353993594646454,10.65303030743683
Canada,CAN,2013,42851.17,76.6651999817059,0.3380000591278076,10.665488228203921
Canada,CAN,2014,43643.234,76.0628744240931,0.3315858840942383,10.683803543525743
Canada,CAN,2015,43594.195,78.6867941894313,0.3374741077423095,10.682679278271081
Canada,CAN,2016,43551.344,79.5323502505266,0.3270272314548492,10.681695842883675
Canada,CAN,2017,44339.387,78.6795637381513,0.3330910801887512,10.699628658086013
Canada,CAN,2018,44907.344,78.5683678106627,0.3251014947891235,10.712356623829686
Canada,CAN,2019,45100.293,78.4180504269821,0.3175057768821716,10.716644022143724
Canada,CAN,2020,42366.13,79.5248963533865,0.2985266745090484,10.654104501238018
Canada,CAN,2021,44639.19,75.5767576013067,0.3111538589000702,10.706367451729276
Canada,CAN,2022,45677.688,74.0815660799596,0.3149521350860595,10.729365230089293
Central African Republic,CAF,1992,454.14896,97.0951747684783,0.596851110458374,6.118425249953307
Central African Republic,CAF,2008,450.31363,99.7018086518345,0.5619515180587769,6.1099442955591865
Central African Republic,CAF,2021,396.02063,101.981140001809,0.4303445816040039,5.981466305857129
Chad,TCD,2003,661.55695,81.4781716390932,0.3981172740459442,6.494596072063952
